function,beta,etaL,init,T,iterate_type,kappa_exp,R2,f_at_k10,f_at_k100,f_at_k1000,f_at_k10000
f1_quad2d,0.7,1.0,zero_mom,1000,pr,3.4891,0.9505,1.5349702057271824e-11,1.3696387656609314e-06,0.011448092537793933,0.3229817691107516
f1_quad2d,0.7,1.0,zero_mom,1000,suffix,48.3803,0.7613,5.863729771767367e-153,9.167828973151036e-33,0.0006714036714569188,0.2595342345699635
f1_quad2d,0.7,1.0,zero_mom,1000,best,49.2118,0.7612,1.4295543838036875e-155,2.6861400923199585e-33,0.0006063770753549721,0.2569471061787839
f1_quad2d,0.7,1.0,zero_mom,10000,last,,,0.0,0.0,2.9803188869370895e-30,0.0006333025347970905
f1_quad2d,0.7,1.0,zero_mom,10000,cesaro,1.9778,1.0000,4.949010148480204e-08,4.544091136331824e-06,0.00045035992351169637,0.041853515538721846
f1_quad2d,0.7,1.0,zero_mom,10000,pr,4.2688,0.9965,1.543273835054851e-15,1.3770480121599381e-10,1.5939415022868391e-06,0.011565434577562492
f1_quad2d,0.7,1.0,zero_mom,10000,suffix,,,0.0,1.7e-322,4.198113075523077e-30,0.0006546313343537973
f1_quad2d,0.7,1.0,zero_mom,10000,best,,,0.0,0.0,2.9803188869370895e-30,0.0006333025347970905
f1_quad2d,0.7,1.5,zero_mom,100,last,4.9778,0.8416,4.051823396098099e-16,4.343575320586915e-06,0.18573434268347339,0.4534153279486765
f1_quad2d,0.7,1.5,zero_mom,100,cesaro,1.1292,0.8906,0.00021566513725234247,0.019709044243867248,0.3169077793795777,0.4963659939055559
f1_quad2d,0.7,1.5,zero_mom,100,pr,2.3187,0.8418,4.268063666724426e-08,0.002278938829242762,0.26440967751771666,0.4689053556283079
f1_quad2d,0.7,1.5,zero_mom,100,suffix,5.2628,0.8205,3.8317822678627676e-17,7.69701464193337e-06,0.19445207253827035,0.45546414845174366
f1_quad2d,0.7,1.5,zero_mom,100,best,4.9778,0.8416,4.051823396098099e-16,4.343575320586915e-06,0.18573434268347339,0.4534153279486765
f1_quad2d,0.7,1.5,zero_mom,1000,last,50.7593,0.8437,9.763620754318067e-155,3.43908997425731e-53,2.0102957762356462e-05,0.1841093650991059
f1_quad2d,0.7,1.5,zero_mom,1000,cesaro,1.7442,0.9883,2.1956065912109875e-06,0.00020159660519300884,0.019731939047151058,0.31036976526365373
f1_quad2d,0.7,1.5,zero_mom,1000,pr,3.6352,0.9701,4.502702970764122e-12,2.4823267174280347e-07,0.002876621801741953,0.2607618692419486
f1_quad2d,0.7,1.5,zero_mom,1000,suffix,50.6813,0.8405,9.46543417933363e-155,2.7804799241718815e-52,2.345566474289818e-05,0.1868995530730111
f1_quad2d,0.7,1.5,zero_mom,1000,best,50.9755,0.8429,1.8582089777263257e-155,3.43908997425731e-53,2.0102957762356462e-05,0.1841093650991059
f1_quad2d,0.7,1.5,zero_mom,10000,last,,,0.0,0.0,4.435447369734312e-45,2.2432243358421002e-05
f1_quad2d,0.7,1.5,zero_mom,10000,cesaro,1.9855,1.0000,2.199560065991202e-08,2.0195960605919217e-06,0.00020015996600519935,0.01973147103828482
f1_quad2d,0.7,1.5,zero_mom,10000,pr,4.2535,0.9982,4.527060952633943e-16,2.4957552001795456e-11,3.1238945101279287e-07,0.0029394740874506362
f1_quad2d,0.7,1.5,zero_mom,10000,suffix,,,0.0,0.0,7.487553023020763e-45,2.3577163193759773e-05
f1_quad2d,0.7,1.5,zero_mom,10000,best,,,0.0,0.0,4.435447369734312e-45,2.2432243358421002e-05
f1_quad2d,0.7,2.0,zero_mom,100,last,4.9194,0.9113,3.3487848996145573e-15,1.9111896374533163e-08,0.1326792776358188,0.4388463788033247
f1_quad2d,0.7,2.0,zero_mom,100,cesaro,1.2182,0.9078,0.00012131164266407932,0.01113552602918023,0.27296776442761267,0.48031550650230137
f1_quad2d,0.7,2.0,zero_mom,100,pr,2.3397,0.8828,4.965639879974702e-08,0.000678797725396795,0.21447904980648036,0.458963712906277
f1_quad2d,0.7,2.0,zero_mom,100,suffix,5.2213,0.8953,2.539043680704021e-16,4.543892791846375e-08,0.14110351304942162,0.44149401942828226
f1_quad2d,0.7,2.0,zero_mom,100,best,5.2832,0.9016,2.051882531705994e-16,1.9111896374533163e-08,0.1326792776358188,0.4388463788033247
f1_quad2d,0.7,2.0,zero_mom,1000,last,53.2179,0.9058,2.699580403636957e-155,4.974038580567306e-78,6.441204349949034e-07,0.1318776022591838
f1_quad2d,0.7,2.0,zero_mom,1000,cesaro,1.8000,0.9934,1.2350287075561803e-06,0.00011339809042106747,0.011213863927886675,0.2670204753775125
f1_quad2d,0.7,2.0,zero_mom,1000,pr,3.5942,0.9853,5.238625084482546e-12,7.178977845041322e-08,0.000958619385085995,0.21118297182788567
f1_quad2d,0.7,2.0,zero_mom,1000,suffix,52.4329,0.9053,4.105987809482111e-153,1.3064888797605348e-76,7.927491658236357e-07,0.13455161053172573
f1_quad2d,0.7,2.0,zero_mom,1000,best,53.7451,0.9044,4.719329005837902e-157,4.974038580567306e-78,6.441204349949034e-07,0.1318776022591838
f1_quad2d,0.7,2.0,zero_mom,10000,last,,,0.0,0.0,4.6838919652112353e-60,7.920567065760421e-07
f1_quad2d,0.7,2.0,zero_mom,10000,cesaro,1.9869,1.0000,1.237252537120051e-08,1.136022784082956e-06,0.00011258998087792463,0.0112206426776905
f1_quad2d,0.7,2.0,zero_mom,10000,pr,4.0955,0.9999,5.266964136749402e-16,7.217813498498535e-12,9.806566929995625e-08,0.0009893885973323831
f1_quad2d,0.7,2.0,zero_mom,10000,suffix,,,0.0,0.0,9.539485000166765e-60,8.465166313157494e-07
f1_quad2d,0.7,2.0,zero_mom,10000,best,,,0.0,0.0,4.6838919652112353e-60,7.920567065760421e-07
f1_quad2d,0.7,2.5,zero_mom,100,last,5.2295,0.9007,3.7616369087122925e-15,6.899726935484048e-12,0.09446754620721089,0.4247329074923393
f1_quad2d,0.7,2.5,zero_mom,100,cesaro,1.2864,0.9196,7.763945251491663e-05,0.007128682384401737,0.2362244593761077,0.4690049584223486
f1_quad2d,0.7,2.5,zero_mom,100,pr,2.3747,0.9079,4.8148260034056745e-08,0.00025369350268135616,0.1742805250401362,0.4492453896187453
f1_quad2d,0.7,2.5,zero_mom,100,suffix,5.6350,0.9172,1.1064266008867241e-16,2.6383065511069072e-11,0.10207591000628366,0.42794045683097287
f1_quad2d,0.7,2.5,zero_mom,100,best,5.8264,0.9158,3.8517113332839214e-17,6.899726935484048e-12,0.09446754620721089,0.4247329074923393
f1_quad2d,0.7,2.5,zero_mom,1000,last,56.5843,0.9036,2.0436594332396456e-154,2.825072642645738e-116,1.992573673847286e-08,0.09443409684122557
f1_quad2d,0.7,2.5,zero_mom,1000,cesaro,1.8392,0.9961,7.904183728359555e-07,7.257477786948318e-05,0.007190019874978002,0.2307720388181211
f1_quad2d,0.7,2.5,zero_mom,1000,pr,3.5755,0.9924,5.079523961445221e-12,2.676516938718578e-08,0.0003949051615815044,0.17157376623718815
f1_quad2d,0.7,2.5,zero_mom,1000,suffix,56.1985,0.9061,7.619597943375125e-154,5.4960909708383045e-114,2.5894718938020943e-08,0.0968358549110931
f1_quad2d,0.7,2.5,zero_mom,1000,best,56.6968,0.9040,8.617601738043523e-155,2.825072642645738e-116,1.992573673847286e-08,0.09443409684122557
f1_quad2d,0.7,2.5,zero_mom,10000,last,,,0.0,0.0,3.4732170282929064e-75,2.7877770365811685e-08
f1_quad2d,0.7,2.5,zero_mom,10000,cesaro,1.9871,1.0000,7.918416237568327e-09,7.270545818130918e-07,7.205758776187177e-05,0.007195890396655586
f1_quad2d,0.7,2.5,zero_mom,10000,pr,3.9888,0.9995,5.107002334627631e-16,2.6909959197863677e-12,3.985097834056227e-08,0.00041104498385778724
f1_quad2d,0.7,2.5,zero_mom,10000,suffix,,,0.0,0.0,8.592854213872985e-75,3.0298756683242134e-08
