function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.5,2.0,10000,zero_mom,1000,last,0.224736585568120599361682732601
f1_quad2d,0.5,2.0,10000,zero_mom,1000,cesaro,0.340169075729539174569771264383
f1_quad2d,0.5,2.0,10000,zero_mom,1000,pr,0.296141338636758749424111858528
f1_quad2d,0.5,2.0,10000,zero_mom,1000,suffix,0.227454224976998141275613107566
f1_quad2d,0.5,2.0,10000,zero_mom,1000,best,0.224736585568120599361682732601
f1_quad2d,0.5,2.0,10000,zero_mom,10000,last,0.000167061041779440613034861252651
f1_quad2d,0.5,2.0,10000,zero_mom,10000,cesaro,0.0301160025090122221811906530102
f1_quad2d,0.5,2.0,10000,zero_mom,10000,pr,0.00644120584233973178289026833859
f1_quad2d,0.5,2.0,10000,zero_mom,10000,suffix,0.000173836731013194713591988171271
f1_quad2d,0.5,2.0,10000,zero_mom,10000,best,0.000167061041779440613034861252651
f1_quad2d,0.5,2.5,10,zero_mom,100,last,4.00837391922699387417484477676e-30
f1_quad2d,0.5,2.5,10,zero_mom,100,cesaro,0.000215665130869522263513090941977
f1_quad2d,0.5,2.5,10,zero_mom,100,pr,0.000000080202614115257228787736850701
f1_quad2d,0.5,2.5,10,zero_mom,100,suffix,2.11371185243469999893268041793e-29
f1_quad2d,0.5,2.5,10,zero_mom,100,best,4.00837391922699387417484477676e-30
f1_quad2d,0.5,2.5,10,zero_mom,1000,last,5.02295556204172479443701044695e-301
f1_quad2d,0.5,2.5,10,zero_mom,1000,cesaro,0.00000219560659121098681538241977802
f1_quad2d,0.5,2.5,10,zero_mom,1000,pr,8.46112316484247969880197740544e-12
f1_quad2d,0.5,2.5,10,zero_mom,1000,suffix,1.05061050969792393433800342574e-294
f1_quad2d,0.5,2.5,10,zero_mom,1000,best,4.88579509779680025588970943137e-301
f1_quad2d,0.5,2.5,10,zero_mom,10000,last,2.77351209211201951286895826365e-3010
f1_quad2d,0.5,2.5,10,zero_mom,10000,cesaro,0.0000000219956006599120109986801539824
f1_quad2d,0.5,2.5,10,zero_mom,10000,pr,8.50689475714730704677834636751e-16
f1_quad2d,0.5,2.5,10,zero_mom,10000,suffix,2.75534574630875051027002917669e-2984
f1_quad2d,0.5,2.5,10,zero_mom,10000,best,2.77351209211201951286895826365e-3010
f1_quad2d,0.5,2.5,100,zero_mom,100,last,0.0000106799876991012596052769762573
f1_quad2d,0.5,2.5,100,zero_mom,100,cesaro,0.0196402861545649842415063828932
f1_quad2d,0.5,2.5,100,zero_mom,100,pr,0.00258116611726845738182884707927
f1_quad2d,0.5,2.5,100,zero_mom,100,suffix,0.0000178585583113902615716261652841
f1_quad2d,0.5,2.5,100,zero_mom,100,best,0.0000106799876991012596052769762573
f1_quad2d,0.5,2.5,100,zero_mom,1000,last,3.09066106053894096833633849273e-48
f1_quad2d,0.5,2.5,100,zero_mom,1000,cesaro,0.000201596605193008789412384928607
f1_quad2d,0.5,2.5,100,zero_mom,1000,pr,0.000000287078911061690804806095607277
f1_quad2d,0.5,2.5,100,zero_mom,1000,suffix,1.9932785383874130136822362137e-47
f1_quad2d,0.5,2.5,100,zero_mom,1000,best,3.09066106053894096833633849273e-48
f1_quad2d,0.5,2.5,100,zero_mom,10000,last,1.27308575985375012521090541305e-473
