function,beta,etaL,kappa,init,T,iterate_type,fvalue
f1_quad2d,0.99,2.0,100,zero_mom,1000,pr,0.0000000107683423696001123550290841946
f1_quad2d,0.99,2.0,100,zero_mom,1000,suffix,0.00000170018065194437743879693998682
f1_quad2d,0.99,2.0,100,zero_mom,1000,best,0.0000195173273554231819465405399807
f1_quad2d,0.99,2.0,1000,zero_mom,100,last,28.5363247425454430804176093947
f1_quad2d,0.99,2.0,1000,zero_mom,100,cesaro,0.0164743918625233820124651018284
f1_quad2d,0.99,2.0,1000,zero_mom,100,pr,0.118668762277046840286616577976
f1_quad2d,0.99,2.0,1000,zero_mom,100,suffix,6.06777347714418643779508216534
f1_quad2d,0.99,2.0,1000,zero_mom,100,best,28.5363247425454430804176093947
f1_quad2d,0.99,2.0,1000,zero_mom,1000,last,0.0342449360771555900285999715986
f1_quad2d,0.99,2.0,1000,zero_mom,1000,cesaro,0.0000127814445997585227285702741367
f1_quad2d,0.99,2.0,1000,zero_mom,1000,pr,0.00000033978020507966269877726530332
f1_quad2d,0.99,2.0,1000,zero_mom,1000,suffix,0.0000366236783532347874964193161083
f1_quad2d,0.99,2.0,1000,zero_mom,1000,best,0.000190252416747374224369071755851
f1_quad2d,0.99,2.0,10000,zero_mom,100,last,285.216522459285854692838525956
f1_quad2d,0.99,2.0,10000,zero_mom,100,cesaro,0.42342947243563978905011939788
f1_quad2d,0.99,2.0,10000,zero_mom,100,pr,0.733774626404748637349496821358
f1_quad2d,0.99,2.0,10000,zero_mom,100,suffix,60.2420889830196604094667732147
f1_quad2d,0.99,2.0,10000,zero_mom,100,best,285.216522459285854692838525956
f1_quad2d,0.99,2.0,10000,zero_mom,1000,last,0.342300541955761577640477222742
f1_quad2d,0.99,2.0,10000,zero_mom,1000,cesaro,0.00124724807667186282225282316735
f1_quad2d,0.99,2.0,10000,zero_mom,1000,pr,0.0000117639999818505407081740974377
f1_quad2d,0.99,2.0,10000,zero_mom,1000,suffix,0.00018705173908817562496215844564
f1_quad2d,0.99,2.0,10000,zero_mom,1000,best,0.000181253028839108065737039930259
f3_huber,0.5,1.0,10,zero_mom,100,last,2.03039524686235355490985647997e-30
f3_huber,0.5,1.0,10,zero_mom,100,cesaro,0.00134790706793451525976414267265
f3_huber,0.5,1.0,10,zero_mom,100,pr,0.0000075496175469749612535805451782
f3_huber,0.5,1.0,10,zero_mom,100,suffix,8.24197192605335998042371556142e-29
f3_huber,0.5,1.0,10,zero_mom,100,best,2.03039524686235355490985647997e-30
f3_huber,0.5,1.0,10,zero_mom,1000,last,6.56165057589236681067466637581e-301
f3_huber,0.5,1.0,10,zero_mom,1000,cesaro,0.0000137225411950686675961401236127
f3_huber,0.5,1.0,10,zero_mom,1000,pr,7.96460871220634029448435666836e-10
f3_huber,0.5,1.0,10,zero_mom,1000,suffix,4.32045077907210913167195446505e-295
f3_huber,0.5,1.0,10,zero_mom,1000,best,6.41180667223651321038256854146e-301
f3_huber,0.5,1.0,100,zero_mom,100,last,0.00842400373391143854415018515415
f3_huber,0.5,1.0,100,zero_mom,100,cesaro,0.0951505927771854219318440064656
f3_huber,0.5,1.0,100,zero_mom,100,pr,0.0433404211856971271046570674639
f3_huber,0.5,1.0,100,zero_mom,100,suffix,0.0101790772551046343933908115063
f3_huber,0.5,1.0,100,zero_mom,100,best,0.00842400373391143854415018515415
f3_huber,0.5,1.0,100,zero_mom,1000,last,6.20344840228016978073885773887e-19
f3_huber,0.5,1.0,100,zero_mom,1000,cesaro,0.00125997877979074078648310169797
f3_huber,0.5,1.0,100,zero_mom,1000,pr,0.0000119332571319701511976428477508
f3_huber,0.5,1.0,100,zero_mom,1000,suffix,1.19196026416708804131026388017e-18
f3_huber,0.5,1.0,100,zero_mom,1000,best,6.20344840228016978073885773887e-19
f3_huber,0.5,1.0,1000,zero_mom,100,last,0.336109648892982769083720940859
f3_huber,0.5,1.0,1000,zero_mom,100,cesaro,0.424397376179320544748443529819
f3_huber,0.5,1.0,1000,zero_mom,100,pr,0.385097234200167029401121043969
f3_huber,0.5,1.0,1000,zero_mom,100,suffix,0.342244350244113801825242353457
f3_huber,0.5,1.0,1000,zero_mom,100,best,0.336109648892982769083720940859
f3_huber,0.5,1.0,1000,zero_mom,1000,last,0.00908454470336583154841422007677
f3_huber,0.5,1.0,1000,zero_mom,1000,cesaro,0.0936274912160215722642054736431
f3_huber,0.5,1.0,1000,zero_mom,1000,pr,0.0440246405447032834607308697352
f3_huber,0.5,1.0,1000,zero_mom,1000,suffix,0.00965115460821246176664479773919
f3_huber,0.5,1.0,1000,zero_mom,1000,best,0.00908454470336583154841422007677
f3_huber,0.5,1.0,10000,zero_mom,100,last,0.480581318723593105963896245335
f3_huber,0.5,1.0,10000,zero_mom,100,cesaro,0.612842408630886011354483466641
f3_huber,0.5,1.0,10000,zero_mom,100,pr,0.487056716647425473601531999398
f3_huber,0.5,1.0,10000,zero_mom,100,suffix,0.481447563211276422278997531254
f3_huber,0.5,1.0,10000,zero_mom,100,best,0.480581318723593105963896245335
f3_huber,0.5,1.0,10000,zero_mom,1000,last,0.335253978503168162427529933315
f3_huber,0.5,1.0,10000,zero_mom,1000,cesaro,0.412122256665739651141076795047
